,GameID,Vteam,VQ1,VQ2,VQ3,VQ4,HQ1,HQ2,HQ3,HQ4,Hteam,DateWeek,Year,OddsVQ1,OddsVQ2,OddsVQ3,OddsVQ4,OddsHQ1,OddsHQ2,OddsHQ3,OddsHQ4,TotalPO,payout,profit,correct,Summary1,Summary2
5238,2019-13-BuccaneersJaguars,Buccaneers,15,10,0,3,0,0,3,8,Jaguars,13,2019,0,0,0,0,0,0,0,0,0,0,-8,0,profit,-269.5
2,Guess0,N/A,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,3,0,3,3,0,0,24,9,1,3,> 6 odds,1
3,Guess3,N/A,3,3,3,3,3,3,3,3,N/A,N/A,N/A,0,0,0,3,0,0,3,0,24,6,-2,2,0<x<6 odds,177
4,Guess7,N/A,7,7,7,7,7,7,7,7,N/A,N/A,N/A,0,0,0,0,0,0,0,0,24,0,-8,0,total correct,178
5,Guess14,N/A,14,14,14,14,14,14,14,14,N/A,N/A,N/A,0,0,0,0,0,0,0,0,60,0,-8,0,winners,26
6,Guess6,N/A,6,6,6,6,6,6,6,6,N/A,N/A,N/A,0,0,0,0,0,0,0,0,60,0,-8,0,3+ winners,26
7,Guess8,N/A,8,8,8,8,8,8,8,8,N/A,N/A,N/A,0,0,0,0,0,0,0,7.5,1692.5,7.5,-0.5,1,#N/A,#N/A
8,Guess10,N/A,10,10,10,10,10,10,10,10,N/A,N/A,N/A,0,3,0,0,0,0,0,0,51,3,-5,1,#N/A,#N/A
9,Guess13,N/A,13,13,13,13,13,13,13,13,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1623,0,-8,0,#N/A,#N/A
10,Guess21,N/A,21,21,21,21,21,21,21,21,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1581.5,0,-8,0,#N/A,#N/A
11,Guess2,N/A,2,2,2,2,2,2,2,2,N/A,N/A,N/A,0,0,0,0,0,0,0,0,2400,0,-8,0,#N/A,#N/A
12,Random,N/A,7,3,0,0,0,6,0,7,N/A,N/A,N/A,0,0,3,0,3,0,0,0,28.5,6,-2,2,#N/A,#N/A
13,Random,N/A,0,0,0,0,0,3,7,0,N/A,N/A,N/A,0,0,3,0,3,0,0,0,24,6,-2,2,#N/A,#N/A
14,Random,N/A,3,6,0,3,0,7,0,0,N/A,N/A,N/A,0,0,3,3,3,0,0,0,28.5,9,1,3,#N/A,#N/A
15,Random,N/A,14,3,7,0,3,0,3,0,N/A,N/A,N/A,0,0,0,0,0,3,3,0,28.5,6,-2,2,#N/A,#N/A
16,Random,N/A,0,0,3,3,0,0,0,3,N/A,N/A,N/A,0,0,0,3,3,3,0,0,24,9,1,3,#N/A,#N/A
17,Random,N/A,0,0,3,0,0,7,15,0,N/A,N/A,N/A,0,0,0,0,3,0,0,0,321,3,-5,1,#N/A,#N/A
18,Random,N/A,0,0,3,0,3,10,0,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,28.5,0,-8,0,#N/A,#N/A
19,Random,N/A,10,7,6,3,0,14,0,0,N/A,N/A,N/A,0,0,0,3,3,0,0,0,37.5,6,-2,2,#N/A,#N/A
20,Random,N/A,3,0,0,3,6,0,7,2,N/A,N/A,N/A,0,0,3,3,0,3,0,0,325.5,9,1,3,#N/A,#N/A
21,Random,N/A,0,0,14,0,0,0,10,0,N/A,N/A,N/A,0,0,0,0,3,3,0,0,33,6,-2,2,#N/A,#N/A
22,Random,N/A,7,0,2,0,0,14,10,0,N/A,N/A,N/A,0,0,0,0,3,0,0,0,330,3,-5,1,#N/A,#N/A
23,Random,N/A,7,0,7,0,7,3,3,3,N/A,N/A,N/A,0,0,0,0,0,0,3,0,24,3,-5,1,#N/A,#N/A
24,Random,N/A,0,3,7,0,6,0,7,3,N/A,N/A,N/A,0,0,0,0,0,3,0,0,28.5,3,-5,1,#N/A,#N/A
25,Random,N/A,3,3,14,3,3,0,0,3,N/A,N/A,N/A,0,0,0,3,0,3,0,0,28.5,6,-2,2,#N/A,#N/A
26,Random,N/A,3,0,0,0,3,0,0,0,N/A,N/A,N/A,0,0,3,0,0,3,0,0,24,6,-2,2,#N/A,#N/A
27,Random,N/A,0,0,0,7,0,14,3,10,N/A,N/A,N/A,0,0,3,0,3,0,3,0,33,9,1,3,#N/A,#N/A
28,Random,N/A,0,0,7,3,3,6,0,0,N/A,N/A,N/A,0,0,0,3,0,0,0,0,28.5,3,-5,1,#N/A,#N/A
29,Random,N/A,3,3,0,3,0,6,0,3,N/A,N/A,N/A,0,0,3,3,3,0,0,0,28.5,9,1,3,#N/A,#N/A
30,Random,N/A,6,0,10,7,7,3,0,3,N/A,N/A,N/A,0,0,0,0,0,0,0,0,33,0,-8,0,#N/A,#N/A
31,Random,N/A,7,2,3,3,7,3,0,3,N/A,N/A,N/A,0,0,0,3,0,0,0,0,321,3,-5,1,#N/A,#N/A
32,Random,N/A,0,3,0,3,0,0,7,3,N/A,N/A,N/A,0,0,3,3,3,3,0,0,24,12,4,4,#N/A,#N/A
33,Random,N/A,7,7,0,0,0,3,3,3,N/A,N/A,N/A,0,0,3,0,3,0,3,0,24,9,1,3,#N/A,#N/A
34,Random,N/A,0,7,0,0,3,0,7,0,N/A,N/A,N/A,0,0,3,0,0,3,0,0,24,6,-2,2,#N/A,#N/A
35,Random,N/A,3,0,3,7,3,0,7,0,N/A,N/A,N/A,0,0,0,0,0,3,0,0,24,3,-5,1,#N/A,#N/A
36,Random,N/A,0,10,0,7,0,0,0,0,N/A,N/A,N/A,0,3,3,0,3,3,0,0,28.5,12,4,4,#N/A,#N/A
37,Random,N/A,0,7,3,0,3,3,0,3,N/A,N/A,N/A,0,0,0,0,0,0,0,0,24,0,-8,0,#N/A,#N/A
38,Random,N/A,7,0,7,7,7,0,0,0,N/A,N/A,N/A,0,0,0,0,0,3,0,0,24,3,-5,1,#N/A,#N/A
39,Random,N/A,0,0,3,0,0,0,14,0,N/A,N/A,N/A,0,0,0,0,3,3,0,0,28.5,6,-2,2,#N/A,#N/A
40,Random,N/A,0,0,0,7,0,10,7,0,N/A,N/A,N/A,0,0,3,0,3,0,0,0,28.5,6,-2,2,#N/A,#N/A
41,Random,N/A,3,7,0,3,7,0,3,3,N/A,N/A,N/A,0,0,3,3,0,3,3,0,24,12,4,4,#N/A,#N/A
42,Random,N/A,7,7,0,3,0,0,0,3,N/A,N/A,N/A,0,0,3,3,3,3,0,0,24,12,4,4,#N/A,#N/A
43,Random,N/A,0,7,0,0,0,0,0,0,N/A,N/A,N/A,0,0,3,0,3,3,0,0,24,9,1,3,#N/A,#N/A
44,Random,N/A,3,0,0,0,0,7,0,3,N/A,N/A,N/A,0,0,3,0,3,0,0,0,24,6,-2,2,#N/A,#N/A
45,Random,N/A,7,0,3,0,0,0,7,3,N/A,N/A,N/A,0,0,0,0,3,3,0,0,24,6,-2,2,#N/A,#N/A
46,Random,N/A,3,0,0,0,7,3,7,0,N/A,N/A,N/A,0,0,3,0,0,0,0,0,24,3,-5,1,#N/A,#N/A
47,Random,N/A,0,10,0,7,0,0,6,3,N/A,N/A,N/A,0,3,3,0,3,3,0,0,33,12,4,4,#N/A,#N/A
48,Random,N/A,0,3,0,7,0,14,0,7,N/A,N/A,N/A,0,0,3,0,3,0,0,0,28.5,6,-2,2,#N/A,#N/A
49,Random,N/A,0,0,7,0,0,0,0,3,N/A,N/A,N/A,0,0,0,0,3,3,0,0,24,6,-2,2,#N/A,#N/A
50,Random,N/A,0,7,15,0,0,14,10,0,N/A,N/A,N/A,0,0,0,0,3,0,0,0,330,3,-5,1,#N/A,#N/A
51,Random,N/A,7,3,0,0,7,3,7,7,N/A,N/A,N/A,0,0,3,0,0,0,0,0,24,3,-5,1,#N/A,#N/A
52,Random,N/A,7,7,0,3,0,0,14,0,N/A,N/A,N/A,0,0,3,3,3,3,0,0,28.5,12,4,4,#N/A,#N/A
53,Random,N/A,0,3,3,3,7,7,0,7,N/A,N/A,N/A,0,0,0,3,0,0,0,0,24,3,-5,1,#N/A,#N/A
54,Random,N/A,3,0,3,3,15,0,7,0,N/A,N/A,N/A,0,0,0,3,0,3,0,0,321,6,-2,2,#N/A,#N/A
55,Random,N/A,0,3,3,7,15,14,0,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,325.5,0,-8,0,#N/A,#N/A
56,Random,N/A,3,6,3,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,3,3,0,0,28.5,6,-2,2,#N/A,#N/A
57,Random,N/A,3,0,0,6,0,2,6,3,N/A,N/A,N/A,0,0,3,0,3,0,0,0,330,6,-2,2,#N/A,#N/A
58,Random,N/A,0,6,0,0,0,14,0,3,N/A,N/A,N/A,0,0,3,0,3,0,0,0,33,6,-2,2,#N/A,#N/A
59,Random,N/A,7,0,3,7,6,6,10,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,37.5,0,-8,0,#N/A,#N/A
60,Random,N/A,3,7,7,0,0,0,0,3,N/A,N/A,N/A,0,0,0,0,3,3,0,0,24,6,-2,2,#N/A,#N/A
61,Random,N/A,7,10,0,3,7,10,0,3,N/A,N/A,N/A,0,3,3,3,0,0,0,0,33,9,1,3,#N/A,#N/A
62,Random,N/A,0,0,0,0,7,0,10,3,N/A,N/A,N/A,0,0,3,0,0,3,0,0,28.5,6,-2,2,#N/A,#N/A
63,Random,N/A,3,0,0,3,6,0,0,0,N/A,N/A,N/A,0,0,3,3,0,3,0,0,28.5,9,1,3,#N/A,#N/A
64,Random,N/A,10,0,15,10,7,10,0,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,334.5,0,-8,0,#N/A,#N/A
65,Random,N/A,0,3,7,3,0,0,0,0,N/A,N/A,N/A,0,0,0,3,3,3,0,0,24,9,1,3,#N/A,#N/A
66,Random,N/A,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,3,0,3,3,0,0,24,9,1,3,#N/A,#N/A
67,Random,N/A,7,2,7,0,3,0,0,0,N/A,N/A,N/A,0,0,0,0,0,3,0,0,321,3,-5,1,#N/A,#N/A
68,Random,N/A,6,3,0,7,14,0,3,3,N/A,N/A,N/A,0,0,3,0,0,3,3,0,33,9,1,3,#N/A,#N/A
69,Random,N/A,0,3,7,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,3,3,0,0,24,6,-2,2,#N/A,#N/A
70,Random,N/A,3,7,0,0,7,7,0,10,N/A,N/A,N/A,0,0,3,0,0,0,0,0,28.5,3,-5,1,#N/A,#N/A
71,Random,N/A,3,0,14,3,7,10,7,0,N/A,N/A,N/A,0,0,0,3,0,0,0,0,33,3,-5,1,#N/A,#N/A
72,Random,N/A,10,10,7,0,7,7,0,0,N/A,N/A,N/A,0,3,0,0,0,0,0,0,33,3,-5,1,#N/A,#N/A
73,Random,N/A,3,0,7,0,7,7,0,3,N/A,N/A,N/A,0,0,0,0,0,0,0,0,24,0,-8,0,#N/A,#N/A
74,Random,N/A,10,0,3,0,14,14,3,0,N/A,N/A,N/A,0,0,0,0,0,0,3,0,37.5,3,-5,1,#N/A,#N/A
75,Random,N/A,0,3,0,3,0,6,0,0,N/A,N/A,N/A,0,0,3,3,3,0,0,0,28.5,9,1,3,#N/A,#N/A
76,Random,N/A,0,3,0,0,7,7,3,0,N/A,N/A,N/A,0,0,3,0,0,0,3,0,24,6,-2,2,#N/A,#N/A
77,Random,N/A,0,3,7,10,10,3,3,0,N/A,N/A,N/A,0,0,0,0,0,0,3,0,33,3,-5,1,#N/A,#N/A
78,Random,N/A,0,10,0,3,3,0,15,0,N/A,N/A,N/A,0,3,3,3,0,3,0,0,325.5,12,4,4,#N/A,#N/A
79,Random,N/A,7,0,7,7,10,3,7,3,N/A,N/A,N/A,0,0,0,0,0,0,0,0,28.5,0,-8,0,#N/A,#N/A
80,Random,N/A,0,0,0,0,6,3,10,3,N/A,N/A,N/A,0,0,3,0,0,0,0,0,33,3,-5,1,#N/A,#N/A
81,Random,N/A,0,0,0,7,0,3,3,7,N/A,N/A,N/A,0,0,3,0,3,0,3,0,24,9,1,3,#N/A,#N/A
82,Random,N/A,7,0,0,0,10,0,7,7,N/A,N/A,N/A,0,0,3,0,0,3,0,0,28.5,6,-2,2,#N/A,#N/A
83,Random,N/A,3,0,3,0,7,0,6,6,N/A,N/A,N/A,0,0,0,0,0,3,0,0,33,3,-5,1,#N/A,#N/A
84,Random,N/A,14,0,3,0,0,3,3,10,N/A,N/A,N/A,0,0,0,0,3,0,3,0,33,6,-2,2,#N/A,#N/A
85,Random,N/A,10,7,3,3,7,7,3,0,N/A,N/A,N/A,0,0,0,3,0,0,3,0,28.5,6,-2,2,#N/A,#N/A
86,Random,N/A,0,0,14,0,7,0,6,3,N/A,N/A,N/A,0,0,0,0,0,3,0,0,33,3,-5,1,#N/A,#N/A
87,Random,N/A,0,0,0,0,7,7,10,0,N/A,N/A,N/A,0,0,3,0,0,0,0,0,28.5,3,-5,1,#N/A,#N/A
88,Random,N/A,0,3,0,3,3,0,0,0,N/A,N/A,N/A,0,0,3,3,0,3,0,0,24,9,1,3,#N/A,#N/A
89,Random,N/A,0,0,0,3,10,0,7,7,N/A,N/A,N/A,0,0,3,3,0,3,0,0,28.5,9,1,3,#N/A,#N/A
90,Random,N/A,0,0,0,0,0,3,0,3,N/A,N/A,N/A,0,0,3,0,3,0,0,0,24,6,-2,2,#N/A,#N/A
91,Random,N/A,0,7,0,14,0,3,0,7,N/A,N/A,N/A,0,0,3,0,3,0,0,0,28.5,6,-2,2,#N/A,#N/A
92,Random,N/A,10,0,7,0,0,0,0,3,N/A,N/A,N/A,0,0,0,0,3,3,0,0,28.5,6,-2,2,#N/A,#N/A
93,Random,N/A,0,7,10,0,14,7,0,3,N/A,N/A,N/A,0,0,0,0,0,0,0,0,33,0,-8,0,#N/A,#N/A
94,Random,N/A,3,0,3,7,3,0,0,3,N/A,N/A,N/A,0,0,0,0,0,3,0,0,24,3,-5,1,#N/A,#N/A
95,Random,N/A,0,0,3,0,0,0,10,0,N/A,N/A,N/A,0,0,0,0,3,3,0,0,28.5,6,-2,2,#N/A,#N/A
96,Random,N/A,0,3,7,0,0,3,14,0,N/A,N/A,N/A,0,0,0,0,3,0,0,0,28.5,3,-5,1,#N/A,#N/A
97,Random,N/A,7,0,0,3,10,0,3,0,N/A,N/A,N/A,0,0,3,3,0,3,3,0,28.5,12,4,4,#N/A,#N/A
98,Random,N/A,7,10,0,7,0,3,3,7,N/A,N/A,N/A,0,3,3,0,3,0,3,0,28.5,12,4,4,#N/A,#N/A
99,Random,N/A,14,7,0,0,3,0,0,3,N/A,N/A,N/A,0,0,3,0,0,3,0,0,28.5,6,-2,2,#N/A,#N/A
100,Random,N/A,3,0,0,0,7,2,0,10,N/A,N/A,N/A,0,0,3,0,0,0,0,0,325.5,3,-5,1,#N/A,#N/A
101,Random,N/A,7,7,3,3,0,10,0,0,N/A,N/A,N/A,0,0,0,3,3,0,0,0,28.5,6,-2,2,#N/A,#N/A
